CCN	TopQuartile	HAC
140032	N	5.75
140033	N/A	0
140034	N	5.1
140040	N	3.025
140043	N	4.25
140046	N	4.575
140048	N	4.625
140049	N	3.95
140052	N	3.45
140053	Y	7.05
140054	N	6.975
140058	N	5.55
140059	N	6
140062	Y	7.325
140063	N	5.875
140064	N	2.4
140065	N	4.425
140067	Y	7.725
140068	N	4.275
140077	N	2.4
140080	N	6.275
140082	N	6.725
140083	Y	8.65
140084	N	5.95
140088	N	6.05
140089	N	6.05
140091	Y	8.65
140093	N	5.9
140095	Y	7.4
140100	N	5.275
140101	N	2.3
140103	N	5.35
140110	Y	9
140113	N	5.25
140114	N	2.65
140115	N	6.575
140116	N	5.875
140117	N	2.625
140118	N	3.05
140119	Y	8.025
140120	N	1.7
140122	N	6.975
140124	Y	7.4
140125	N	2.975
140127	N	5.75
140130	Y	7.275
140133	Y	7.7
140135	Y	7.225
140137	N	4
140143	N	5
140145	N	3
140147	Y	9
140148	N	5.7
140150	Y	8.7
140155	N	4.25
140158	Y	7.675
140160	N	4.15
140161	N	3.45
140162	N	4.575
140164	N	5.75
140166	N	4.65
140167	N	3.8
140172	Y	7.725
140174	N	5.725
140176	N	6.95
140177	N	2.05
140179	Y	8.25
140180	N	5.05
140181	N	3.925
140182	Y	7.375
140184	N	3.4
140185	N	4.275
140186	N	4.25
140187	Y	7.4
140189	Y	9.3
140191	N	4.35
140197	N	4.725
140200	N	2.625
140202	N	4.25
140206	N	3.275
140208	N	4.95
140209	N	6.6
140210	N	2.75
140211	N	5.1
140213	N	6.225
140217	N	4.8
140223	N	5.025
140224	N	6.725
140228	N	5.725
140231	N	6.675
140233	Y	9.35
140234	N	2
140239	N	6
140240	Y	7.6
140242	N	4.1
140250	N	2.625
140251	N	5.075
140252	Y	7.55
140258	N	3.975
140275	N	3.725
140276	N	6.4
140280	Y	7.25
140281	Y	9.025
140286	N	4.4
140288	N	3.3
140289	Y	7.7
140290	N	4.625
140291	N	3.275
140292	N	4.95
140294	N	4.65
140300	N	6
140304	N	5.4
150001	N	1.7
150002	Y	8.625
150003	N	2
150004	N	6.075
150005	N	6
150006	N	2.65
150007	Y	7.725
150008	N	1
150009	N	3.975
150010	N	1.975
150011	N	6.25
150012	N	1.975
150015	N	3.325
150017	N	6.95
150018	N	4.4
150021	N	5.3
150022	N	3
150023	Y	7.025
150024	Y	8.95
150026	N	4.775
150030	N	3.65
150034	N	4.3
150035	N	4.9
150037	N	3.8
150038	N	5.35
150042	N	4.3
150044	N	6.725
150045	N	3.1
150046	N	5.55
150047	N	6.65
150048	N	3.8
150051	N	5.95
150056	Y	8.675
150057	N	1
150058	N	6.275
150059	N	6.375
150061	N	7
150064	N	5.05
150065	N	3.05
150069	N	6.85
150072	N	2.4
150074	N	6.9
150075	N	2.75
150076	Y	7.05
150082	N	4.675
150084	N	6.6
150086	N	4.4
150088	N	2.3
150089	N	5.375
150090	N	6.975
150091	N	4
150097	N	1.35
150100	N	5.375
150101	N	7
150102	N	4
150104	Y	8
150109	N	4.95
150112	N	4.8
150113	N	4.025
150115	Y	8
150125	N	4.9
150126	Y	7.225
150128	N	4.35
150129	N	4.15
150133	N	1.35
150146	N	7
150149	N	6.1
150150	Y	7.65
150153	N	5.225
150154	Y	8.65
150157	N	6.525
150158	N	7
150160	N	1
150161	N	6.925
150162	N	3.95
150163	N	6
150164	N	6.95
150165	Y	9.65
150166	N	4
150167	N	2
150168	N	2
150169	Y	7.675
150172	Y	10
150173	N	4.275
150175	N	4.95
150176	N	6.425
150177	N	3
150179	N	7
150180	N	7
150181	N	7
150182	N/A	0
160001	N	2.05
160005	N	5
160008	N	1.7
160013	N	3
160016	N	4.775
160024	N	5.075
160028	N	5.75
160029	N	4.35
160030	N	5.025
160032	Y	9
160033	N	2.975
160040	N	7
160045	N	2.65
160047	N	3.1
160057	N	3.8
160058	Y	7.625
160064	N	6.35
160067	N	5.75
160069	N	5.9
160079	N	3.275
160080	N	3.375
160082	N	6.05
160083	N	6.725
160089	N	5.4
160101	N	2.75
160104	Y	7.675
160110	N	3.35
160112	N	2
160117	N	1
160122	N	2
160124	N	3
160146	N	3.625
160147	N	4.15
160153	N	4.775
170001	N	7
170006	N	5.65
170009	Y	7.95
170010	N	7
170012	N	4.375
170013	N	4.075
170014	N	6
170016	N	5.1
170017	N	6
170020	Y	7.35
170023	N	3.275
170027	N	4.15
170039	Y	9
170040	Y	7.4
170049	N	4.675
170058	N	5.35
170068	N	3.8
170074	N	6.55
170075	N	7
170086	N	3.625
170094	N	5
170103	N	4
170104	N	2
170105	N	5
170109	Y	8
170110	N	7
170120	N	5
170122	N	4.6
170123	N	4.6
170133	N	7
170137	N	3.95
170142	N	1
170145	Y	7.25
170146	N	3.625
170150	Y	9
170166	N	5
170175	N	2.7
170176	Y	9.025
170180	N/A	0
170182	Y	8.375
170183	N	3
170185	Y	7.225
170186	Y	7.9
170187	N	1
170188	N	4
170190	N	4
170191	N	1
170194	N	5
170196	N	1
170197	N	3.3
170198	N	5
170199	N	5
170200	N	6
170201	N/A	0
170203	N/A	0
180001	N	4.975
180002	N	6.05
180004	Y	7.4
180005	N	5.125
180009	N	2.35
180010	N	4
180011	N	4.425
180012	N	3
180013	N	4.25
180016	N	6.1
180017	N	4.9
180018	N	5.425
180019	N	1.35
180020	N	2.05
180021	N	2.975
180024	N	3.05
180025	N	2.05
180027	N	5.55
180029	N	1.675
180035	Y	7.025
180036	N	5.4
180038	N	4.925
180040	Y	9.35
180043	N	1.7
180044	N	5.45
180045	Y	7.4
180046	N	5
180048	N	4.975
180049	N	2.625
180050	N	2.05
180051	N	6.85
180053	N	4
180056	N	4.925
180064	N	4.15
180066	N	3
180067	Y	7.625
180069	N	2.05
180070	N	5.35
180078	N	3
180079	N	5
180080	N	6.9
180087	N	6.325
180088	Y	7.675
180092	N	2.4
180093	N	4.65
180095	N	5
180101	N	6.425
180102	Y	7.05
180103	N	4.275
180104	N	6.9
180105	N	5
180106	N	4
180115	N	7
180116	Y	7.6
180117	N	4
180124	N	6.525
180127	N	5.25
180128	N	7
180130	N	6.975
180132	N	5.35
180138	N	3.45
180139	N	1.35
180141	Y	8.275
180143	Y	7.35
180149	N	5
190001	N	5.65
190002	N	5.9
190003	N	4.975
190004	N	3.275
190005	Y	9.35
190006	Y	7.975
190007	N	4.6
190008	N	6.25
190009	N	4.425
190011	N	6.925
190013	N	3.075
190014	N	6.625
190015	N	2.625
190017	N	6.6
190019	Y	8.325
190020	N	5.725
190025	N	1.35
190026	N	6.075
190027	N	6.625
190034	N	4.35
190036	N	5.375
190039	N	4.675
190040	N	6.75
190041	N	6.35
190044	N	2.4
190045	N	6.05
190046	N	6.35
190050	N	3.8
190053	N	6.9
190054	N	1
190060	N	6.325
190064	Y	7.075
190065	N	6.225
190079	N	2.05
190081	N	6
190086	N	4.375
190088	N	4
190090	N	5.65
190098	Y	7.725
190099	N	2
190102	N	4.975
190106	N	3
190111	Y	8.025
190114	N	4.3
190116	N	4.3
190118	N	5
190125	N	4.25
190128	N	6.675
190133	N	7
190140	N	5
190144	N	3.65
190145	N	5
190146	N	5.925
190151	N	5
190160	Y	7.675
190164	N	3.95
190167	N	5.975
190175	N	1.35
190176	Y	10
190177	N	5.925
190183	Y	9.325
190184	N	6
190190	N	6
190199	N	7
190201	N	6.725
190202	N	3.675
190204	N	6.95
190205	N	4.95
190208	N	6
190218	N	6
190236	N	5.875
190241	N	4
190242	Y	7.95
190245	Y	9
190246	N	3
190250	N	3.325
190251	N	6
190255	N	7
190256	N	7
190257	N	3
190259	N	4
190261	N	6
190263	N	6.2
190266	N	5
190267	N	5
190268	N	7
190270	N	3
190274	N	2.325
190278	N	3
190297	N	5
190298	N	1
190300	N	7
190302	N/A	0
190303	N	3
190304	N	7
190307	N	7
190308	N	6
190310	N/A	0
200001	N	3.675
200002	N	1.7
200008	N	6.05
200009	Y	10
200018	Y	7.3
200019	N	1
200020	N	4
200021	N	4.675
200024	N	6.7
200025	N	4
200031	N	2.4
200033	Y	8
200034	Y	8.375
200037	N	3
200039	Y	8.7
200040	N	3
200041	Y	8
200050	N	4
200052	N	4
200063	N	1
210001	N/A	7
210002	N/A	8.5
210003	N/A	3.5
210004	N/A	6
210005	N/A	8.5
210006	N/A	7.5
210008	N/A	6
210009	N/A	5
210011	N/A	4.5
210012	N/A	9.5
210013	N/A	7.5
210015	N/A	5
210016	N/A	5.5
210017	N/A	1
210018	N/A	5
210019	N/A	7
210022	N/A	3
210023	N/A	0
210024	N/A	2.5
210027	N/A	4.5
210028	N/A	5.5
210029	N/A	7
210030	N/A	9
210032	N/A	4
210033	N/A	3.5
210034	N/A	1
210035	N/A	4.5
210037	N/A	0
210038	N/A	2
210039	N/A	1
210040	N/A	7
210043	N/A	0
210044	N/A	6.5
210045	N/A	0
210048	N/A	6
210049	N/A	6.5
210051	N/A	3
210055	N/A	7.5
210056	N/A	5.5
210057	N/A	6.5
210058	N/A	0
210060	N/A	1
210061	N/A	9
210062	N/A	5.5
210063	N/A	0
210064	N/A	0
220001	N	4.325
220002	N	6.75
220008	Y	7.35
220010	N	5
220011	N	4.35
220012	N	4.275
220015	N	6.65
220016	N	6.85
220017	N	4.15
220019	N	3.375
220020	N	2.975
220024	Y	7.725
220029	N	4.7
220030	N	1.35
220031	Y	7.075
220033	N	2.65
220035	Y	9.3
220036	N	7
220046	N	2
220049	N	4.6
220050	N	4
220052	N	3.275
220058	N	6
220060	Y	7.7
220062	N	4
220063	N	3.925
220065	N	4
220066	Y	7.025
220067	N	3.375
220070	N	6.725
220071	N	6.925
220073	N	4.025
220074	N	4.9
220075	N	5
220077	N	5.55
220080	N	5.1
220082	Y	7.7
220083	N	3.975
220084	N	6.05
220086	Y	8.05
220088	N	3.925
220090	N	3.075
220095	Y	8.65
220098	N	1.35
220100	N	2.625
220101	N	3.05
220105	N	5.075
220108	N	3.05
220110	Y	8.05
220111	N	4.275
220116	Y	7.725
220119	N	5.225
220126	N	5.6
220135	Y	7.7
220163	N	6.325
220171	Y	7.4
220172	N/A	0
220174	N	3.3
220175	N	2.95
220176	N	6.3
220177	N	6
230002	N	2.3
230003	N	4
230004	N	4.325
230005	N	1.35
230013	N	5.3
230015	N	6
230017	N	6.1
230019	N	6.35
230020	Y	8.325
230021	N	6.875
230022	N	1
230024	N	6.75
230029	N	6.05
230030	N	1
230031	Y	8.35
230035	N	3.8
230036	N	5.4
230037	N	3.8
230038	Y	9.025
230040	N	2.05
230041	N	6.525
230046	N	4.9
230047	Y	7.725
230053	Y	7.4
230054	N	4.05
230055	N	1.7
230058	N	4.35
230059	N	6.75
230066	N	3.45
230069	N	4.7
230070	N	4.775
230071	N	6
230072	N	5.9
230075	Y	7.65
230077	N	5.125
230078	N	5
230080	N	1.65
230081	N	4.15
230085	N	5
230089	Y	7.025
230092	N	2.625
230093	N	6
230095	N	5.25
230096	N	7
230097	N	3.625
230099	Y	7.4
230100	N	2
230104	Y	7.7
230105	N	5.6
230106	N	2.05
230108	Y	8
230110	N	4.95
230117	Y	8.35
230118	N	7
230121	N	3.1
230130	N	6.75
230132	Y	8.675
230133	N	1.35
230141	Y	8.05
230142	N	7
230144	Y	7.2
230146	N	4.625
230151	N	5.75
230156	N	6.75
230165	N	6.675
230167	Y	8.275
230174	N	5
230176	Y	9.325
230180	N	4.15
230193	N	2
230195	N	5.35
230197	Y	7.075
230207	N	4.4
230208	Y	10
230216	N	5.95
230217	N	5.275
230222	N	3.35
230227	Y	7.375
230230	N	3.3
230236	N	5.425
230239	N	2.05
230241	N	2.4
230244	N	6.625
230254	Y	7.05
230259	N	1
230264	N	7
230269	N	3.325
